Project ID,CARB Issuance ID,OPR Project ID,Project Type,Early Action/ Compliance,Reporting Period Start Date,Reporting Period End Date,Vintage,ARB Offset Credits Issued,Forest Buffer Account Contribution,Issuance Date,Invalidation Timeframe,Date Invalidation Period Reduced,Start of Invalidation Timeframe,Project Name,Project Operator,Verification Body,State,Provides DEBS,"Section 95989(b) Documentation, if applicable",Project Documentation,Retired Buffer Pool,Retired Voluntarily,Retired 1st Compliance Period (CA),Retired 2nd Compliance Period (CA),Retired 3rd Compliance Period (CA),Retired 4th Compliance Period (CA),Retired for Compliance (Quebec),Retired Intentional Reversal,Comments,Vintage remaining,Issuance total from registry,Issuance Year,Registry,ARB Source Data,Updated 11-1-23,Total ARB Credits Issued:,"220,439,110",Total ARB Credits Retired:,"163,158,520"
ACR170,CAOD5002-A,ACR170,ODS,COP,3/28/12,9/23/12,2012,"306,517",n/a,9/23/13,3 years,1/13/15,9/23/12,ECC ODS Destruction 2012,Environmental Credit Corp.,SCS Engineers,AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=170,n/a,0,"134,808","171,709",0,0,0,0,n/a, 	-   ," 	307,729 ",2013,ACR,,,,,,
ACR172,CAOD5004-A,ACR172,ODS,COP,3/26/13,3/31/13,2013,"55,996",n/a,11/26/13,8 years,n/a,3/31/13,EOS ARB ODS 2013-2,"EOS Climate, Inc.","NSF International Strategic Registrations, Ltd.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=172,n/a,0,"45,148","10,848",0,0,0,0,n/a, 	-   ," 	55,996 ",2013,ACR,,,,,,
ACR173,CAFR5028-A,ACR173,Forest,COP,7/29/12,11/30/13,2013,"540,828"," 	76,257 ",1/27/15,3 years,n/a,11/30/13,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173," 	76,257 ",0,"241,164","130,493",0,"30,854",0,0,"On 4/11/2023, CARB retired all 76,257 credits from the buffer pool for the CAFR0070/CAFR5063 uncompensated early project termination (pursuant to section 95983(c)(4)(C))."," 	138,317 "," 	454,798 ",2015,ACR,,,,,,
ACR173,CAFR5028-B,ACR173,Forest,COP,12/1/13,11/30/14,2014,"8,356"," 	1,179 ",3/21/17,3 years,2/12/19,11/30/14,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173, 	-   ,0,0,0,0,0,0,0,n/a," 	8,356 "," 	7,177 ",2017,ACR,,,,,,
ACR173,CAFR5028-C,ACR173,Forest,COP,12/1/14,11/30/15,2015,"45,066"," 	6,355 ",3/21/17,3 years,2/12/19,11/30/15,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173, 	-   ,0,0,0,0,0,0,0,n/a," 	45,066 "," 	38,711 ",2017,ACR,,,,,,
ACR173,CAFR5028-D,ACR173,Forest,COP,12/1/15,11/30/16,2016,"3,407", 	481 ,2/12/19,8 years,n/a,11/30/16,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,"Ruby Canyon Engineering, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173, 	-   ,0,0,0,0,0,0,0,n/a," 	3,407 "," 	2,926 ",2019,ACR,,,,,,
ACR176,CAOD5013-A,ACR176,ODS,COP,3/18/13,6/11/13,2013,"255,227",n/a,2/11/14,3 years,2/24/15,6/11/13,ECC ODS Destruction 2013,Environmental Credit Corp.,SCS Engineers,AR,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=176,n/a,0,"226,802","27,420",62,0,0,0,n/a, 	943 ," 	255,227 ",2014,ACR,,,,,,
ACR179,CAOD5007-A,ACR179,ODS,COP,6/12/13,6/17/13,2013,"50,600",n/a,10/22/13,3 years,12/22/15,6/17/13,Wabashco Clean Sweep 1,"Wabashco, LLC","Ruby Canyon Engineering, Inc.",OH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=179,n/a,0,0,600,"50,000",0,0,0,n/a, 	-   ," 	50,600 ",2013,ACR,,,,,,
ACR181,CAOD5015-A,ACR181,ODS,COP,8/30/13,9/9/13,2013,"51,864",n/a,2/25/14,8 years,n/a,9/9/13,EOS ARB ODS 2013-6,"EOS Climate, Inc.","NSF International Strategic Registrations, Ltd.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=181,n/a,0,0,"6,035","45,829",0,0,0,n/a, 	-   ," 	51,864 ",2014,ACR,,,,,,
ACR182,CAFR5012-(reversal),ACR182,Forest,COP,8/26/15,8/25/16,n/a,n/a,n/a,1/26/21,n/a,n/a,n/a,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,n/a,0,0,0,0,0,0,0,"On 1/26/2021, CARB approved the verification of an intentional reversal of 27,150 mtCO2e during the project’s fourth reporting period.  Pursuant to section 95983(c)(3), the forest owners are required to submit 27,150 compliance instruments to CARB for placement in the Retirement Account.", 	-   ,,2021,ACR,,,,,,
