Date,Open,High,Low,Close,Volume,Project Name,Credits Issued
2020-08-03,20.25,20.45499992370605,20.25,15.484137535095217,5100,Verwey Hanford Dairy Digester,41346.0
2020-08-03,20.25,20.45499992370605,20.25,15.484137535095217,5100,Verwey Madera Dairy Digester,33561.0
2020-08-05,20.700000762939453,20.899999618530277,20.700000762939453,15.7680082321167,11000,Kimble Sanitary Landfill Gas Project,146875.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 45 Eritrean District Boreholes,849.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 46 Eritrean District Boreholes,849.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 47 Eritrean District Boreholes,849.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 48 Eritrean District Boreholes,876.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 54 Eritrean District Boreholes,849.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 55 Eritrean District Boreholes,849.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 84 Zoba Maekel Community Boreholes,883.0
2020-08-06,21.01000022888184,21.020000457763672,20.5,15.561349868774414,2900,GS1247 VPA 85 Zoba Maekel Community Boreholes,849.0
2020-08-13,20.200000762939453,20.36000061035156,20.125,15.234333038330078,2100,Culiacan Norther Landfill Ga Project - CER Conversion,375.0
2020-08-18,20.5939998626709,20.5939998626709,20.5939998626709,15.589359283447266,100,A-Gas UCSD1,24304.0
2020-08-20,20.299999237060547,20.309999465942383,20.18000030517578,15.275967597961426,29400,Two Fiets Digester,10562.0
2020-08-20,20.299999237060547,20.309999465942383,20.18000030517578,15.275967597961426,29400,A-Gas 4-2020,87667.0
2020-08-26,21.899999618530277,21.93000030517578,21.5,16.320608139038086,24400,"Roeslein Alternative Energy of Missouri, LLC - South Meadow",16679.0
2020-08-26,21.899999618530277,21.93000030517578,21.5,16.320608139038086,24400,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 014,725.0
2020-08-26,21.899999618530277,21.93000030517578,21.5,16.320608139038086,24400,Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,358.0
2020-08-27,21.989999771118164,21.989999771118164,21.209999084472656,16.218412399291992,1100,ClimeCo ODS Destruction 33,119156.0
2020-08-27,21.989999771118164,21.989999771118164,21.209999084472656,16.218412399291992,1100,South Jordan Landfill Gas Destruction Project,195962.0
2020-08-28,22.3700008392334,23.030000686645508,21.941999435424805,16.68168830871582,2500,GS1289: Native Hydraid BioSand Water Filter Programme East Africa: VPA (02) Ethiopia,833.0
2020-08-31,22.0,22.0,21.7450008392334,16.552244186401367,2400,Coffeyville NAP2,87987.0
2020-08-31,22.0,22.0,21.7450008392334,16.552244186401367,2400,Coffeyville NAP2,72627.0
2020-08-31,22.0,22.0,21.7450008392334,16.552244186401367,2400,Grid Connected Wind Power Project In Maharashtra India By Bhilwara,45.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,Finite Carbon - Stevenson TN IFM,507989.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,San Jerónimo ZacapexCO2 - Ejido,3407.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,San Jerónimo ZacapexCO2 - Ejido,8010.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,San Jerónimo ZacapexCO2 - Bienes Comunales,4298.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,San Jerónimo ZacapexCO2 - Bienes Comunales,10104.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,Ejido forestal Los Bancos,9076.0
2020-09-01,21.8799991607666,21.8799991607666,21.25,16.0859432220459,4500,Ejido forestal Los Bancos,815.0
2020-09-02,21.25,21.479999542236328,21.167999267578125,16.260047912597656,1400,Virginia Highlands I,109706.0
2020-09-02,21.25,21.479999542236328,21.167999267578125,16.260047912597656,1400,Virginia Highlands I,5213.0
2020-09-02,21.25,21.479999542236328,21.167999267578125,16.260047912597656,1400,Virginia Highlands I,7794.0
2020-09-02,21.25,21.479999542236328,21.167999267578125,16.260047912597656,1400,Virginia Highlands I,2223.0
2020-09-02,21.25,21.479999542236328,21.167999267578125,16.260047912597656,1400,Finite Carbon - Alma Land Company IFM,71689.0
2020-09-02,21.25,21.479999542236328,21.167999267578125,16.260047912597656,1400,Dairyland Digester,23828.0
2020-09-03,21.850000381469727,21.850000381469727,21.690000534057617,16.419015884399414,600,Finite Carbon - Stevenson AL IFM,600078.0
2020-09-04,21.780000686645508,21.780000686645508,21.0,15.980721473693848,6200,IESI-Trinity Timber Ridge Landfill Carbon Project,70592.0
